county_name,"senate totalvotes, 2020","senate dem votecount, 2020","senate rep votecount, 2020",dem_pct_senate_2020,rep_pct_senate_2020,state,"senate totalvotes, 2024","senate dem votecount, 2024","senate rep votecount, 2024"
boone,,,,,,indiana,38788.0,14596.0,23037.0
boone,15190.0,6316.0,8315.0,0.41579986833443056,0.5473996050032917,iowa,,,
boone,66950.0,22446.0,41726.0,0.33526512322628826,0.6232412247946229,kentucky,,,
boone,,,,,,missouri,88972.0,49074.0,37452.0
boone,2931.0,351.0,2402.0,0.11975435005117707,0.8195155237120437,nebraska,3001.0,nan,2274.0
boone,2931.0,351.0,2402.0,0.11975435005117707,0.8195155237120437,nebraska,2992.0,423.0,2569.0
boone,8867.0,2016.0,6674.0,0.22735987368895907,0.7526784707341829,west virginia,7988.0,1826.0,5965.0
borden,411.0,18.0,390.0,0.043795620437956206,0.948905109489051,texas,383.0,13.0,366.0
bosque,9038.0,1490.0,7367.0,0.1648594821863244,0.8151139632662093,texas,9553.0,1712.0,7643.0
bossier,53200.0,13765.0,38066.0,0.2587406015037594,0.7155263157894737,louisiana,,,
botetourt,20722.0,6512.0,14190.0,0.3142553807547534,0.6847794614419458,virginia,21582.0,6608.0,14950.0
bottineau,,,,,,north dakota,3419.0,895.0,2511.0
boulder,205536.0,154552.0,47321.0,0.7519461310913903,0.23023217343920285,colorado,,,
boundary,6258.0,1212.0,4800.0,0.19367209971236818,0.7670182166826462,idaho,,,
bourbon,6632.0,1694.0,4619.0,0.2554282267792521,0.6964716525934861,kansas,,,
bourbon,9648.0,3477.0,5807.0,0.3603855721393035,0.6018864013266998,kentucky,,,
bowie,37805.0,10344.0,26848.0,0.2736146012432218,0.7101706123528634,texas,36197.0,9405.0,26219.0
bowman,,,,,,north dakota,1615.0,263.0,1349.0
box butte,4988.0,822.0,3840.0,0.16479550922213312,0.7698476343223737,nebraska,4840.0,nan,3198.0
box butte,4988.0,822.0,3840.0,0.16479550922213312,0.7698476343223737,nebraska,4861.0,985.0,3876.0
box elder,,,,,,utah,28854.0,4050.0,22803.0
boyd,21755.0,7915.0,12909.0,0.3638244081820271,0.5933808319926454,kentucky,,,
boyd,1047.0,89.0,883.0,0.08500477554918816,0.8433619866284623,nebraska,1061.0,nan,948.0
boyd,1047.0,89.0,883.0,0.08500477554918816,0.8433619866284623,nebraska,1056.0,207.0,849.0
boyle,14466.0,5445.0,8418.0,0.37639983409373706,0.5819162173372044,kentucky,,,
bracken,4232.0,987.0,3042.0,0.23322306238185256,0.7188090737240076,kentucky,,,
bradford,,,,,,florida,13617.0,3005.0,10363.0
bradford,,,,,,pennsylvania,30910.0,8007.0,22099.0
bradley,3563.0,,2485.0,,0.6974459724950884,arkansas,,,
bradley,44143.0,8716.0,34262.0,0.19744919919353013,0.7761593004553383,tennessee,48131.0,9494.0,37608.0
branch,20280.0,6119.0,13682.0,0.30172583826429983,0.6746548323471401,michigan,20792.0,5923.0,14181.0
brantley,15004.0,1340.0,13358.0,0.08930951746201013,0.8902959210877099,georgia,,,
braxton,5547.0,1395.0,4006.0,0.251487290427258,0.7221921759509645,west virginia,5232.0,1255.0,3812.0
