cbsa23,cbsaname23,metro_micro_code,new_permits_total
36420,"oklahoma city, ok",2,6896
36460,"olean, ny",5,128
36500,"olympia-lacey-tumwater, wa",2,1222
36540,"omaha, ne-ia",2,7214
36580,"oneonta, ny",5,133
36620,"ontario, or-id",5,274
36660,"opelousas, la",5,142
36700,"orangeburg, sc",5,87
36740,"orlando-kissimmee-sanford, fl",2,23644
36780,"oshkosh-neenah, wi",2,652
36820,"oskaloosa, ia",5,13
36830,"othello, wa",5,49
36837,"ottawa, il",5,109
36840,"ottawa, ks",5,85
36900,"ottumwa, ia",5,44
36940,"owatonna, mn",5,28
36980,"owensboro, ky",4,227
37020,"owosso, mi",5,74
37060,"oxford, ms",5,527
37100,"oxnard-thousand oaks-ventura, ca",2,1759
37120,"ozark, al",5,38
37140,"paducah, ky-il",2,192
37260,"palatka, fl",5,113
37300,"palestine, tx",5,29
37340,"palm bay-melbourne-titusville, fl",4,4602
37420,"pampa, tx",5,7
37460,"panama city-panama city beach, fl",4,2690
37500,"paragould, ar",5,265
37540,"paris, tn",5,19
37580,"paris, tx",5,133
37620,"parkersburg-vienna, wv",2,138
37740,"payson, az",5,217
37800,"pella, ia",5,122
37860,"pensacola-ferry pass-brent, fl",4,3462
37900,"peoria, il",2,196
37940,"peru, in",5,35
37950,"petoskey, mi",5,161
37980,"philadelphia-camden-wilmington, pa-nj-de-md",2,13624
38060,"phoenix-mesa-chandler, az",2,45515
38100,"picayune, ms",5,326
38180,"pierre, sd",5,147
38210,"pikeville, ky",5,9
38220,"pine bluff, ar",5,62
38240,"pinehurst-southern pines, nc",2,941
38260,"pittsburg, ks",5,65
38300,"pittsburgh, pa",2,5469
38340,"pittsfield, ma",4,130
38380,"plainview, tx",5,13
38420,"platteville, wi",5,120
38460,"plattsburgh, ny",5,192
38500,"plymouth, in",5,147
38540,"pocatello, id",4,325
38620,"ponca city, ok",5,11
38700,"pontiac, il",5,35
38740,"poplar bluff, mo",5,63
38820,"port angeles, wa",5,166
38920,"port lavaca, tx",5,95
38940,"port st. lucie, fl",2,5605
39040,"port townsend, wa",5,147
38860,"portland-south portland, me",2,2984
38900,"portland-vancouver-hillsboro, or-wa",2,9129
39020,"portsmouth, oh",5,8
39060,"pottsville, pa",5,169
39150,"prescott valley-prescott, az",4,2062
39220,"price, ut",5,196
39300,"providence-warwick, ri-ma",2,2441
39340,"provo-orem-lehi, ut",2,6433
39380,"pueblo, co",2,269
39420,"pullman, wa",5,49
39460,"punta gorda, fl",2,4585
39480,"putnam, ct",5,149
39500,"quincy, il-mo",5,68
39540,"racine-mount pleasant, wi",2,505
39580,"raleigh-cary, nc",2,18980
39660,"rapid city, sd",2,1551
39700,"raymondville, tx",5,36
39740,"reading, pa",2,258
39780,"red bluff, ca",5,186
39860,"red wing, mn",5,86
39820,"redding, ca",2,246
39900,"reno, nv",2,4391
39940,"rexburg, id",5,409
39960,"rice lake, wi",5,156
39980,"richmond, in",5,38
40060,"richmond, va",4,8625
40080,"richmond-berea, ky",5,453
40090,"rifle, co",5,316
40100,"rio grande city-roma, tx",5,0
40140,"riverside-san bernardino-ontario, ca",2,14653
40180,"riverton, wy",5,22
40260,"roanoke rapids, nc",5,72
40220,"roanoke, va",4,1054
40300,"rochelle, il",5,113
40340,"rochester, mn",2,1521
40380,"rochester, ny",2,1826
40540,"rock springs, wy",5,47
40420,"rockford, il",2,341
40460,"rockingham, nc",5,54
40580,"rocky mount, nc",2,550
40620,"rolla, mo",5,162
40660,"rome, ga",2,355
40700,"roseburg, or",5,190
40740,"roswell, nm",5,88
40760,"ruidoso, nm",5,92
40770,"russellville, al",5,15
40780,"russellville, ar",5,65
40820,"ruston, la",5,171
40860,"rutland, vt",5,90
40900,"sacramento-roseville-folsom, ca",2,11518
40940,"safford, az",5,137
40980,"saginaw, mi",2,154
41400,"salem, oh",5,49
41420,"salem, or",2,1768
41460,"salina, ks",5,305
41500,"salinas, ca",4,530
41540,"salisbury, md",2,327
41620,"salt lake city-murray, ut",2,5837
41660,"san angelo, tx",4,233
41700,"san antonio-new braunfels, tx",2,14776
41740,"san diego-chula vista-carlsbad, ca",4,11759
41860,"san francisco-oakland-fremont, ca",2,5829
41940,"san jose-sunnyvale-santa clara, ca",2,4119
42020,"san luis obispo-paso robles, ca",4,1104
41760,"sandpoint, id",5,147
41780,"sandusky, oh",2,256
41820,"sanford, nc",5,602
42100,"santa cruz-watsonville, ca",2,224
42140,"santa fe, nm",2,244
42200,"santa maria-santa barbara, ca",4,719
42220,"santa rosa-petaluma, ca",4,1039
42300,"sault ste. marie, mi",5,92
42340,"savannah, ga",2,4040
42380,"sayre, pa",5,66
42420,"scottsbluff, ne",5,33
42460,"scottsboro, al",5,46
42540,"scranton--wilkes-barre, pa",4,633
42580,"seaford, de",5,4354
42620,"searcy, ar",5,219
42660,"seattle-tacoma-bellevue, wa",2,17746
42680,"sebastian-vero beach-west vero corridor, fl",2,564
42700,"sebring-, fl",4,980
42740,"sedalia, mo",5,109
42780,"selinsgrove, pa",5,48
42820,"selma, al",5,7
42900,"seneca falls, ny",5,48
42860,"seneca, sc",5,648
42940,"sevierville, tn",5,1594
42980,"seymour, in",5,101
43020,"shawano, wi",5,91
43060,"shawnee, ok",5,183
43100,"sheboygan, wi",4,383
43140,"shelby-kings mountain, nc",5,461
43180,"shelbyville, tn",5,630
43220,"shelton, wa",5,299
43260,"sheridan, wy",5,309
43300,"sherman-denison, tx",2,2272
43320,"show low, az",5,485
43340,"shreveport-bossier city, la",2,1050
43380,"sidney, oh",5,337
43420,"sierra vista-douglas, az",4,437
43460,"sikeston, mo",5,130
43580,"sioux city, ia-ne-sd",2,253
43620,"sioux falls, sd-mn",4,2774
43640,"slidell-mandeville-covington, la",2,1064
43660,"snyder, tx",5,32
43700,"somerset, ky",5,117
43740,"somerset, pa",5,78
43760,"sonora, ca",5,60
43780,"south bend-mishawaka, in-mi",2,882
43890,"sparta, wi",5,93
43900,"spartanburg, sc",2,3186
43940,"spearfish, sd",5,217
43980,"spencer, ia",5,11
44020,"spirit lake, ia",5,295
44060,"spokane-spokane valley, wa",2,3949
44100,"springfield, il",2,234
44140,"springfield, ma",2,453
44180,"springfield, mo",4,2203
44220,"springfield, oh",2,232
41060,"st. cloud, mn",2,743
41100,"st. george, ut",4,3140
41140,"st. joseph, mo-ks",2,79
41180,"st. louis, mo-il",2,6691
41260,"st. marys, pa",5,53
44260,"starkville, ms",5,74
44300,"state college, pa",2,399
44340,"statesboro, ga",5,694
44420,"staunton-stuarts draft, va",2,566
44460,"steamboat springs, co",5,615
44500,"stephenville, tx",5,110
44540,"sterling, co",5,11
44580,"sterling, il",5,19
44620,"stevens point-plover, wi",5,255
44660,"stillwater, ok",5,182
44700,"stockton-lodi, ca",2,3779
44740,"storm lake, ia",5,164
44780,"sturgis, mi",5,125
44860,"sulphur springs, tx",5,66
44900,"summerville, ga",5,2
