hud_id,project,proj_cty,proj_st,proj_zip,fips2020,yr_pis,n_units,li_units
COA20220013,CREEK AT COTTONWOOD,COLORADO SPRINGS,CO,80924,08041007105,2022,258.0,258.0
COA20220014,FIELDS ON 15TH,LONGMONT,CO,80501,08013013308,2022,88.0,88.0
COA20220015,HERITAGE AT CHURCH RANCH,WESTMINSTER,CO,80021,08059009827,2022,205.0,205.0
COA20220017,NOTABLE,LAKEWOOD,CO,80401,08059010902,2022,218.0,218.0
COA20220021,RENAISSANCE LEGACY LOFTS PAB,DENVER,CO,80205,08031002405,2022,34.0,34.0
COA20220022,RESERVES AT GREEN VALLEY RANCH,DENVER,CO,80249,08031008389,2022,144.0,144.0
COA20220026,SOUTH RANGE CROSSINGS,PARKER,CO,80134,08035013905,2022,204.0,204.0
COA20220027,SPOKE ON COFFMAN,LONGMONT,CO,80501,08013013302,2022,73.0,73.0
COA20220028,VINA APARTMENTS,DENVER,CO,80216,08031003501,2022,150.0,150.0
COA20220029,WESTERN APARTMENTS,TRINIDAD,CO,81082,08071000100,2022,60.0,60.0
CTA20201001,ARMSTRONG COURT PHASE 1,GREENWICH,CT,06833,09001010500,2020,18.0,18.0
CTA20201007,THE ROYLE AT DARIEN (FKA OLD TOWN HALL HOMES),DARIEN,CT,06820,09001030200,2020,55.0,55.0
CTA20210001,CANTON SPECIALTY HOUSING,CANTON,CT,06019,09003464101,2021,40.0,40.0
CTA20211001,BARNUM HOUSE,BRIDGEPORT,CT,06604,09001070600,2021,84.0,83.0
CTA20211002,CLOVER GARDENS,HARTFORD,CT,06105,09003503300,2021,32.0,32.0
